Customer Name,Policy Expiry Date,Product Family,Product,Status,Agent,Bundled Policy?,Frequency of Contact,Mailer Sent Out?,Policy ID,Promotion Offered,Sourcing Channel,Days Until Exp Buckets,Date Param Plus 1 Q,Days Until Expiration Date,Income,Number of Late Payments,Number of Premiums Paid,Percent Premiums Paid in Cash or Credit,Policy Holder Age,Premium
Jemima Dalling,4/17/2021,Personal,Health,Reassess,Adriena Bennett,Yes,Yearly,No,R1471,10 Percent,C,Next 15-30 days,4/1/2021 12:00:00 AM,16,184600,0,47,0.457745801,65,142109.52
Armand Hamor,4/6/2021,Business,Professional Liability,Expiring,Adriena Bennett,Yes,Yearly,No,R0872,None,D,Next 5-15 days,4/1/2021 12:00:00 AM,5,47800,0,12,0.024086717,39,165067.38
Paul Raggles,5/26/2021,Personal,Pet,Reassess,Adriena Bennett,Yes,Yearly,No,R0170,None,D,Next 30-60 days,4/1/2021 12:00:00 AM,55,23900,0,49,0.232198521,64,83215.38
Deni Care,7/12/2021,Business,Professional Liability,Reassess,Adriena Bennett,Yes,Never,No,R0612,15 Percent,C,More than 60 days,4/1/2021 12:00:00 AM,102,163000,0,22,0.328104616,73,36181.42
Tomaso Ambrosoli,4/2/2021,Business,Commercial Auto,Reassess,Adriena Bennett,Yes,Monthly,Yes,R1354,None,C,Next 5 days,4/1/2021 12:00:00 AM,1,122900,0,22,0.473571265,24,73428.35
Laurice Guerin,4/4/2021,Business,General Liability,Reassess,Adriena Bennett,Yes,Never,No,R1432,None,D,Next 5 days,4/1/2021 12:00:00 AM,3,67400,0,10,0.111765214,62,8391.49
Tyrone Pope,4/23/2021,Personal,Identity Theft Protection,Reassess,Adriena Bennett,Yes,Never,No,R1258,None,D,Next 15-30 days,4/1/2021 12:00:00 AM,22,127100,0,48,0.937195426,41,228337.71
Quentin Espinet,5/9/2021,Property,Homeowners,Expiring,Adriena Bennett,Yes,Never,No,R0246,None,C,Next 30-60 days,4/1/2021 12:00:00 AM,38,178300,0,39,0.156517283,58,197798.55
Staci Korfmann,4/12/2021,Vehicle,ATV,Reassess,Adriena Bennett,Yes,Yearly,Yes,R0582,5 Percent,C,Next 5-15 days,4/1/2021 12:00:00 AM,11,125500,12,35,0.627762552,77,14712.43
Veda Bolan,4/3/2021,Personal,Life,Reassess,Adriena Bennett,Yes,Never,No,R0534,None,D,Next 5 days,4/1/2021 12:00:00 AM,2,138200,0,38,0.793412407,75,52496.15
Waneta Wrathall,12/1/2021,Property,Home Warranty,Reassess,Adriena Bennett,Yes,Quarterly,No,R1402,None,D,More than 60 days,4/1/2021 12:00:00 AM,244,2400,3,16,0.924249242,62,58200.34
Corabel Jakobsson,4/3/2021,Personal,Health,Expiring,Adriena Bennett,Yes,Quarterly,Yes,R0651,None,C,Next 5 days,4/1/2021 12:00:00 AM,2,76500,0,56,0.483184030,72,133407.89
Sharyl Catherick,4/5/2021,Personal,Identity Theft Protection,Expiring,Adriena Bennett,Yes,Yearly,Yes,R0990,None,D,Next 5 days,4/1/2021 12:00:00 AM,4,93100,0,33,0.939901136,35,26791.63
Hector Weavers,4/18/2021,Vehicle,Classic Car,Reassess,Adriena Bennett,No,Never,Yes,R1306,5 Percent,D,Next 15-30 days,4/1/2021 12:00:00 AM,17,68200,14,27,0.014423797,43,129185.35
Pepita Grinyakin,4/11/2021,Vehicle,PWC,Reassess,Adriena Bennett,No,Monthly,No,R0486,None,D,Next 5-15 days,4/1/2021 12:00:00 AM,10,106200,7,56,0.364212649,57,61917.5
Yolanthe Garahan,10/24/2021,Vehicle,Motorcycle,Reassess,Adriena Bennett,No,Yearly,Yes,R0208,None,C,More than 60 days,4/1/2021 12:00:00 AM,206,3900,11,33,0.256578548,50,17144.48
Isaac Lucey,6/30/2021,Property,Renter,Reassess,Adriena Bennett,No,Quarterly,Yes,R1692,None,B,More than 60 days,4/1/2021 12:00:00 AM,90,163600,0,37,0.978394205,73,6860.19
Pace Dunham,6/19/2021,Business,Workers' Compensation,Reassess,Adriena Bennett,No,Quarterly,No,R1066,10 Percent,D,More than 60 days,4/1/2021 12:00:00 AM,79,125600,0,53,0.305855098,30,120448.61
Brnaba Ogbourne,4/2/2021,Vehicle,Golf Cart,Reassess,Adriena Bennett,No,Yearly,No,R1028,None,D,Next 5 days,4/1/2021 12:00:00 AM,1,40700,0,51,0.698428645,54,89866.99
Frannie Burbidge,4/11/2021,Property,Homeowners,Reassess,Adriena Bennett,No,Monthly,Yes,R0052,5 Percent,D,Next 5-15 days,4/1/2021 12:00:00 AM,10,83500,0,30,0.124642926,24,4255.71
Junie Commander,5/22/2021,Personal,Health,Enroll,Adriena Bennett,No,Never,Yes,R0438,None,D,Next 30-60 days,4/1/2021 12:00:00 AM,51,163400,0,9,0.581126858,75,173920.19
Sofia Gerrelt,6/2/2021,Vehicle,Snowmobile,Reassess,Adriena Bennett,No,Yearly,No,R1810,None,C,More than 60 days,4/1/2021 12:00:00 AM,62,164500,0,14,0.857495937,65,87878.31
Dorthea Gilardone,4/3/2021,Vehicle,ATV,Reassess,Adriena Bennett,No,Monthly,Yes,R1848,10 Percent,C,Next 5 days,4/1/2021 12:00:00 AM,2,106600,0,12,0.064741350,73,96573.31
Hubert Gillatt,4/14/2021,Personal,Life,Expiring,Adriena Bennett,No,Quarterly,No,R1886,None,D,Next 5-15 days,4/1/2021 12:00:00 AM,13,27500,0,12,0.069591647,31,188006.38
Masha Hannabuss,8/14/2021,Vehicle,ATV,Reassess,Adriena Bennett,Yes,Never,Yes,R1593,None,D,More than 60 days,4/1/2021 12:00:00 AM,135,37600,0,15,0.046046813,57,93837.91
Mohandis Mallinar,6/25/2021,Property,Renter,Renewed,Adriena Bennett,Yes,Quarterly,No,R1843,None,D,More than 60 days,4/1/2021 12:00:00 AM,85,16800,0,47,0.845918193,77,11995.43
Chase McCray,12/12/2021,Personal,Life,Reassess,Adriena Bennett,Yes,Monthly,No,R1637,None,D,More than 60 days,4/1/2021 12:00:00 AM,255,77000,11,22,0.123248692,79,55035.29
Shelley Outlaw,11/23/2021,Vehicle,Motorcycle,Renewed,Adriena Bennett,Yes,Quarterly,No,R0867,5 Percent,D,More than 60 days,4/1/2021 12:00:00 AM,236,160400,15,31,0.934706941,37,165768.66
Elsi Van Castele,9/11/2021,Business,Commercial Auto,Reassess,Adriena Bennett,Yes,Quarterly,No,R0529,None,C,More than 60 days,4/1/2021 12:00:00 AM,163,124200,0,53,0.377515648,31,70998.66
Blithe Hibbart,7/9/2021,Vehicle,PWC,Expiring,Adriena Bennett,Yes,Quarterly,Yes,R1301,None,C,More than 60 days,4/1/2021 12:00:00 AM,99,42600,0,18,0.732151017,41,77785.94
Dianemarie Kopman,8/13/2021,Personal,Pet,Reassess,Adriena Bennett,Yes,Quarterly,No,R1687,None,B,More than 60 days,4/1/2021 12:00:00 AM,134,179400,0,49,0.782161129,63,108046.13
Jeremie MacNeilley,8/13/2021,Business,Commercial Auto,Reassess,Adriena Bennett,Yes,Monthly,Yes,R1349,None,B,More than 60 days,4/1/2021 12:00:00 AM,134,69400,0,42,0.356037890,50,20370.31
Shandee Rehm,11/28/2021,Personal,Device,Renewed,Adriena Bennett,Yes,Yearly,No,R1253,None,C,More than 60 days,4/1/2021 12:00:00 AM,241,54100,15,21,0.206291249,48,52198.76
Case Abrahamovitz,9/24/2021,Property,Homeowners,Renewed,Adriena Bennett,Yes,Quarterly,No,R1023,None,C,More than 60 days,4/1/2021 12:00:00 AM,176,136700,9,48,0.713109677,30,178937.73
Devonna Mangenet,11/13/2021,Personal,Vision,Reassess,Adriena Bennett,Yes,Monthly,No,R0773,None,A,More than 60 days,4/1/2021 12:00:00 AM,226,108600,12,10,0.387377427,65,121975.84
Dorise Featherstonehaugh,8/8/2021,Vehicle,Auto,Expiring,Adriena Bennett,Yes,Monthly,Yes,R0577,5 Percent,B,More than 60 days,4/1/2021 12:00:00 AM,129,50400,0,17,0.952412984,78,69055.95
Patin Riveles,8/11/2021,Personal,Health,Reassess,Adriena Bennett,Yes,Monthly,No,R0165,None,D,More than 60 days,4/1/2021 12:00:00 AM,132,135000,0,38,0.800886887,41,24295.86
Hedvige Coper,4/21/2021,Vehicle,Auto,Renewed,Adriena Bennett,Yes,Monthly,No,R0817,10 Percent,A,Next 15-30 days,4/1/2021 12:00:00 AM,20,103600,0,21,0.769874313,59,20898.31
